latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
36.98479,126.6927,300.88,1.24,1.11,2025-02-01,1227,Terra,MODIS,35,6.1NRT,274.68,12.68,N
36.98031,126.68984,301.82,1.35,1.15,2025-02-02,0520,Aqua,MODIS,37,6.1NRT,282.99,10.43,D
36.98298,126.70437,303.46,1.35,1.15,2025-02-02,0520,Aqua,MODIS,53,6.1NRT,283.87,11.85,D
37.55538,127.05664,302.6,1.34,1.15,2025-02-04,0145,Terra,MODIS,50,6.1NRT,269.74,15.89,D
36.98527,126.6964,305.9,1.01,1,2025-02-05,0540,Aqua,MODIS,35,6.1NRT,278.31,9.84,D
36.98546,126.70064,313.95,1.01,1,2025-02-06,0126,Terra,MODIS,74,6.1NRT,274.93,16.74,D
36.98392,126.71164,304.71,1,1,2025-02-06,0126,Terra,MODIS,56,6.1NRT,275.88,10.01,D
36.98228,126.70168,300.11,1,1,2025-02-11,0128,Terra,MODIS,28,6.1NRT,277.88,7.22,D
36.98295,126.70195,306.3,1.4,1.17,2025-02-13,0109,Terra,MODIS,48,6.1NRT,281.22,16.26,D
36.99146,126.69935,301.02,1.12,1.05,2025-02-16,1819,Aqua,MODIS,32,6.1NRT,272.11,10.22,N
36.9899,126.71156,301.93,1.11,1.05,2025-02-16,1819,Aqua,MODIS,45,6.1NRT,274.45,11.27,N
35.36197,128.77525,300.63,1.16,1.07,2025-02-17,0520,Aqua,MODIS,13,6.1NRT,286.46,5.63,D
35.74427,128.09842,304.52,1.22,1.1,2025-02-17,0520,Aqua,MODIS,59,6.1NRT,278.78,12.91,D
36.98189,126.6932,305.06,1.37,1.16,2025-02-17,0522,Aqua,MODIS,44,6.1NRT,283.99,11.94,D
36.98467,126.70792,302.62,1.37,1.16,2025-02-17,0522,Aqua,MODIS,40,6.1NRT,283.78,9.9,D
35.99889,129.38596,305.76,1.15,1.07,2025-02-20,0540,Aqua,MODIS,59,6.1NRT,287.84,8.89,D
36.98376,126.71156,304.01,1.03,1.01,2025-02-21,0132,Terra,MODIS,42,6.1NRT,279.07,8.56,D
36.98549,126.70036,303.05,1.03,1.01,2025-02-21,0132,Terra,MODIS,41,6.1NRT,279.15,8.22,D
36.98553,126.70503,301.94,1.03,1.01,2025-02-21,1233,Terra,MODIS,45,6.1NRT,274.25,10.6,N
35.30568,128.31345,300.08,1.22,1.1,2025-02-22,0520,Aqua,MODIS,20,6.1NRT,286.77,5.14,D
36.98231,126.70088,306.45,1.38,1.16,2025-02-22,0522,Aqua,MODIS,55,6.1NRT,284.34,14.86,D
36.98316,126.70918,301.41,1.8,1.31,2025-02-24,0153,Terra,MODIS,24,6.1NRT,279.3,14.95,D
36.38526,128.46317,303.55,1.26,1.12,2025-02-26,0134,Terra,MODIS,56,6.1NRT,281.2,10.1,D
