grid_id,road_dens_km_km2
4643450,0.0
4643451,0.122
4643452,0.51
4643453,0.392
4643454,0.897
4643455,1.206
4643456,1.995
4643457,2.199
4643458,1.198
4643459,0.529
4643460,0.297
4643461,0.211
4643462,0.143
4643463,0.052
4643464,0.031
4643465,0.017
4643466,0.093
4643467,0.221
4643468,0.144
4643469,0.201
4643470,0.198
4643471,0.144
4643472,0.239
4643473,0.547
4643474,1.244
4643475,0.33
4643476,0.046
4643477,0.013
4643478,0.472
4643479,0.226
4643480,0.237
4643481,0.0
4639850,0.021
4639851,0.325
4639852,0.718
4639853,0.487
4639854,1.031
4639855,0.959
4639856,1.199
4639857,1.161
4639858,0.691
4639859,0.261
4639860,0.448
4639861,0.385
4639862,0.287
4639863,0.312
4639864,0.215
4639865,0.114
4639866,0.227
4639867,0.346
4639868,0.066
4639869,0.021
4639870,0.206
4639871,0.142
4639872,0.382
4639873,0.658
4639874,1.412
4639875,0.112
4639876,0.05
4639877,0.022
4639878,0.18
4639879,0.31
4639880,0.269
4639881,0.148
4639882,0.016
4639883,0.0
4636249,0.0
4636250,0.014
4636251,0.244
4636252,0.549
4636253,0.916
4636254,0.522
4636255,0.321
4636256,0.804
4636257,0.841
4636258,0.671
4636259,0.355
4636260,0.076
4636261,0.032
4636262,0.138
4636263,0.333
4636264,0.309
4636265,0.208
4636266,0.313
4636267,0.151
4636268,0.033
4636269,0.167
4636270,0.237
4636271,0.128
4636272,0.152
4636273,0.264
4636274,0.207
4636275,0.31
4636276,0.252
4636277,0.153
4636278,0.134
4636279,0.078
4636280,0.462
4636281,0.475
4636282,0.447
4636283,0.266
4636284,0.225
4632647,0.0
4632648,0.0
4632649,0.308
4632650,0.097
4632651,0.186
4632652,0.442
4632653,0.667
4632654,0.251
4632655,0.139
4632656,0.689
4632657,0.956
4632658,0.621
4632659,0.509
4632660,0.087
4632661,0.132
4632662,0.27
4632663,0.306
4632664,0.294
4632665,0.203
4632666,0.347
4632667,0.247
4632668,0.197
4632669,0.119
4632670,0.098
4632671,0.168
4632672,0.356
4632673,0.53
4632674,0.504
4632675,0.217
4632676,0.569
4632677,0.562
4632678,0.263
4632679,0.386
4632680,0.516
4632681,0.297
4632682,0.659
4632683,0.465
4632684,0.07
4629046,0.0
4629047,0.245
4629048,0.565
4629049,0.194
4629050,0.472
4629051,0.71
4629052,0.578
4629053,0.241
4629054,0.44
4629055,0.312
4629056,0.832
4629057,1.286
4629058,0.648
4629059,0.352
4629060,0.033
4629061,0.095
4629062,0.172
4629063,0.181
4629064,0.192
4629065,0.493
4629066,0.129
4629067,0.182
4629068,0.379
4629069,0.199
4629070,0.124
4629071,0.075
4629072,0.405
4629073,0.491
4629074,0.379
4629075,0.089
4629076,0.35
4629077,0.279
4629078,0.064
4629079,0.35
4629080,0.433
4629081,0.085
4629082,0.201
4629083,0.519
4629084,0.278
4625446,0.0
4625447,0.0
4625448,0.005
4625449,0.542
4625450,0.796
4625451,0.265
4625452,0.25
4625453,0.33
4625454,0.472
4625455,0.378
4625456,0.706
4625457,0.919
4625458,0.874
4625459,0.613
4625460,0.539
4625461,0.667
4625462,0.706
4625463,0.301
4625464,0.273
4625465,0.42
4625466,0.035
4625467,0.06
4625468,0.263
4625469,0.151
4625470,0.124
4625471,0.233
4625472,0.608
4625473,0.709
4625474,0.385
4625475,0.573
4625476,0.602
4625477,0.218
4625478,0.057
4625479,0.441
4625480,0.641
4625481,0.366
4625482,0.036
4625483,0.325
4625484,1.199
4625485,0.073
4625486,0.0
4621847,0.0
4621848,0.049
4621849,0.318
4621850,0.462
4621851,0.536
4621852,0.521
4621853,0.547
4621854,0.753
4621855,0.772
4621856,0.635
4621857,0.407
4621858,0.331
4621859,0.39
4621860,0.504
4621861,0.485
4621862,0.619
4621863,0.546
4621864,0.197
